
 num     #instances         #bytes  class name
 331:            74           4144  java.util.concurrent.ConcurrentHashMap$EntryIterator
 332:            86           4128  com.fasterxml.jackson.databind.ser.BeanSerializer
 333:           172           4128  java.util.regex.Pattern$GroupHead
 334:             1           4112  [Lcom.sun.org.apache.xpath.internal.objects.XObject;
 335:           128           4096  org.xml.sax.helpers.LocatorImpl
 336:           127           4064  com.sun.org.apache.xerces.internal.xni.QName
 337:           101           4040  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 338:            56           4032  com.mysql.jdbc.ConnectionPropertiesImpl$IntegerConnectionProperty
 339:           252           4032  com.sun.proxy.$Proxy32
 340:           252           4032  java.util.Collections$UnmodifiableSet
 341:           168           4032  org.springframework.beans.BeanMetadataAttribute
 342:             1           4016  [Ljava.util.concurrent.locks.Lock;
 343:            17           3984  [Lcom.fasterxml.jackson.databind.ser.impl.JsonSerializerMap$Bucket;
 344:            71           3976  com.hazelcast.util.ConcurrentReferenceHashMap$Segment
 345:           124           3968  com.aliyun.openservices.shade.com.alibaba.fastjson.util.IdentityHashMap$Entry
 346:            81           3888  java.lang.invoke.LambdaForm
 347:            97           3880  sun.security.rsa.RSAPublicKeyImpl
 348:           121           3872  org.springframework.expression.spel.ast.CompoundExpression
 349:           121           3872  sun.reflect.generics.reflectiveObjects.TypeVariableImpl
 350:            10           3840  org.apache.tomcat.util.threads.TaskThread
 351:            86           3824  [Ljava.lang.invoke.LambdaForm$Name;
 352:            68           3808  org.jboss.resteasy.spi.metadata.MethodParameter
 353:            78           3744  javax.management.MBeanInfo
 354:            82           3672  [Lcom.fasterxml.jackson.databind.ser.BeanPropertyWriter;
 355:             9           3672  org.apache.zookeeper.ClientCnxn$SendThread
 356:           153           3672  sun.reflect.generics.tree.ClassSignature
 357:            76           3648  com.fasterxml.jackson.databind.type.SimpleType
 358:            64           3584  org.apache.tomcat.util.modeler.ManagedBean
 359:           149           3576  javassist.bytecode.AnnotationsAttribute
 360:           221           3536  java.util.HashMap$Values
 361:             9           3528  org.apache.zookeeper.ClientCnxn$EventThread
 362:            20           3520  com.alibaba.dubbo.config.ConsumerConfig
 363:            73           3504  java.util.concurrent.LinkedBlockingQueue
 364:           108           3456  java.util.ResourceBundle$LoaderReference
 365:           144           3456  javassist.bytecode.StackMapTable
 366:            24           3456  org.aspectj.weaver.ReferenceType
 367:           144           3456  org.jboss.resteasy.core.MediaTypeMap$Entry
 368:           138           3432  [Ljavax.management.MBeanParameterInfo;
 369:           105           3360  java.util.Collections$SynchronizedMap
 370:            30           3360  sun.nio.ch.SocketChannelImpl
 371:            52           3328  java.nio.DirectByteBuffer
 372:            26           3328  org.aspectj.weaver.reflect.ReflectionBasedResolvedMemberImpl
 373:            83           3320  com.fasterxml.jackson.databind.type.TypeBindings
 374:            68           3264  java.util.concurrent.ThreadPoolExecutor$Worker
 375:            51           3264  javassist.bytecode.ClassFile
 376:            68           3264  org.jboss.resteasy.core.MessageBodyParameterInjector
 377:            68           3264  org.jboss.resteasy.core.registry.MethodExpression
 378:            40           3200  sun.net.www.protocol.jar.URLJarFile
 379:            24           3192  [Ljava.util.concurrent.RunnableScheduledFuture;
 380:           153           3152  [Lsun.reflect.generics.tree.ClassTypeSignature;
 381:           131           3144  java.io.ExpiringCache$Entry
 382:            98           3136  sun.security.x509.BasicConstraintsExtension
 383:            24           3072  com.google.common.cache.LocalCache
 384:             8           3072  com.hazelcast.util.executor.PoolExecutorThreadFactory$ManagedThread
 385:            96           3072  sun.security.x509.SubjectKeyIdentifierExtension
 386:           126           3024  java.security.Provider$UString
 387:           126           3024  java.util.regex.Pattern$BitClass
 388:           125           3000  sun.reflect.generics.tree.FormalTypeParameter
 389:           186           2976  com.sun.proxy.$Proxy16
 390:            53           2968  java.lang.invoke.MethodTypeForm
 391:            37           2960  java.util.concurrent.ThreadPoolExecutor
 392:           185           2960  java.util.concurrent.atomic.AtomicBoolean
 393:           123           2952  org.springframework.expression.TypedValue
 394:            61           2928  java.util.Properties
 395:            19           2912  [Lcom.hazelcast.util.ConstructorFunction;
 396:            28           2912  [Ljava.lang.invoke.MethodHandle;
 397:            91           2912  java.lang.invoke.DirectMethodHandle
 398:            60           2880  java.nio.HeapByteBuffer
 399:            90           2880  java.security.Permissions
 400:            45           2880  javax.management.openmbean.OpenMBeanAttributeInfoSupport
 401:           107           2816  [Ljavax.management.ObjectName$Property;
 402:            88           2816  sun.security.x509.KeyUsageExtension
 403:             6           2784  com.hazelcast.internal.networking.nio.NioThread
 404:            87           2784  java.io.FilePermission
 405:           116           2784  java.util.regex.Pattern$Slice
 406:           116           2784  org.springframework.aop.framework.AdvisedSupport$MethodCacheKey
 407:           173           2768  org.springframework.util.LinkedMultiValueMap
 408:            47           2752  [Lcom.sun.org.apache.xerces.internal.util.SymbolHash$Entry;
 409:            86           2752  java.security.BasicPermissionCollection
 410:           111           2664  sun.security.util.BitArray
 411:           111           2664  sun.security.util.Cache$EqualByteArray
 412:           111           2664  sun.security.x509.CertificateValidity
 413:            82           2624  java.io.FileDescriptor
 414:           163           2608  com.sun.proxy.$Proxy40
 415:            36           2592  com.fasterxml.jackson.databind.deser.impl.MethodProperty
 416:           108           2592  javax.management.ObjectName$Property
 417:           137           2568  [Lcom.sun.jmx.mbeanserver.MXBeanMapping;
 418:           106           2544  java.lang.invoke.LambdaForm$NamedFunction
 419:            52           2528  [[Ljavassist.bytecode.ConstInfo;
 420:           157           2512  javax.ws.rs.core.MediaType$1
 421:            78           2496  java.lang.reflect.WeakCache$CacheValue
 422:            78           2496  java.net.InetAddress$InetAddressHolder
 423:             1           2472  [Lcom.aliyun.openservices.shade.com.alibaba.rocketmq.common.MQVersion$Version;
 424:           103           2472  com.hazelcast.logging.LoggingServiceImpl$DefaultLogger
 425:           103           2472  org.apache.log4j.Logger
 426:            22           2464  java.net.SocksSocketImpl
 427:            69           2440  [Ljavax.management.MBeanOperationInfo;
 428:            27           2440  [[B
 429:            76           2432  java.util.regex.Pattern$BnM
 430:           101           2424  com.hazelcast.internal.metrics.impl.FieldProbe$LongFieldProbe
 431:           101           2424  org.springframework.beans.CachedIntrospectionResults
 432:            75           2400  java.lang.reflect.Proxy$Key1
 433:           100           2400  org.apache.ibatis.mapping.ParameterMap
 434:            99           2376  sun.security.x509.CertificateExtensions
 435:            98           2352  java.util.regex.Pattern$Single
 436:            97           2328  java.lang.RuntimePermission
 437:            58           2320  org.codehaus.jackson.map.type.SimpleType
 438:            96           2304  com.sun.org.apache.xml.internal.serializer.EncodingInfo
 439:             2           2240  com.mysql.jdbc.JDBC4Connection
 440:            70           2240  org.aspectj.weaver.Lint$Kind
 441:            92           2208  java.net.InetSocketAddress$InetSocketAddressHolder
 442:            11           2200  com.sun.org.apache.xerces.internal.dom.DeferredDocumentImpl
 443:           136           2176  com.sun.proxy.$Proxy23
 444:            68           2176  org.jboss.resteasy.core.MethodInjectorImpl
 445:            54           2160  javax.management.ObjectName
 446:            54           2160  org.springframework.core.convert.Property
 447:            67           2144  com.mysql.jdbc.VersionedStringProperty
 448:            53           2120  sun.security.ec.NamedCurve
 449:            88           2112  java.io.FilePermissionCollection
 450:           132           2112  org.springframework.expression.common.LiteralExpression
 451:            52           2080  ch.qos.logback.core.joran.event.StartEvent
 452:           130           2080  java.lang.Character
 453:            37           2072  sun.util.calendar.ZoneInfo
 454:             1           2064  [Ljava.util.Set;
 455:             1           2064  [Lorg.jboss.netty.util.internal.ReusableIterator;
 456:            86           2064  java.util.jar.Manifest
 457:           129           2064  sun.security.x509.KeyIdentifier
